title,first_name,last_name,full_salutation,chamber,room,address_line_1,address_line_2,city,state,zip,phone,email,district,party,leadership_role,priority_tier,relevance_score,committee_hook
"Sen.","Doug","Beck","Senator Beck","Missouri State Senate","333","201 W. Capitol Ave.","Rm. 333","Jefferson City","MO","65101","(573) 751-0220","doug.beck@senate.mo.gov","1","D","","Tier 1","4","As a St. Louis County senator your constituents include families navigating the court system daily"
"Sen.","Nick","Schroer","Senator Schroer","Missouri State Senate","227","201 W. Capitol Ave.","Rm. 227","Jefferson City","MO","65101","(573) 751-1282","nick.schroer@senate.mo.gov","2","R","","Tier 2","3","St. Charles County families would benefit from child-centered documentation tools"
"Sen.","Mike","Henderson","Senator Henderson","Missouri State Senate","431","201 W. Capitol Ave.","Rm. 431","Jefferson City","MO","65101","(573) 751-4008","mike.henderson@senate.mo.gov","3","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Karla","May","Senator May","Missouri State Senate","225","201 W. Capitol Ave.","Rm. 225","Jefferson City","MO","65101","(573) 751-3599","karla.may@senate.mo.gov","4","D","","Tier 1","4","As a St. Louis City senator you represent communities most impacted by family court challenges"
"Sen.","Steven","Roberts","Senator Roberts","Missouri State Senate","434","201 W. Capitol Ave.","Rm. 434","Jefferson City","MO","65101","(573) 751-4415","steven.roberts@senate.mo.gov","5","D","","Tier 1","4","St. Louis City families in your district face significant documentation challenges in family court"
"Sen.","Mike","Bernskoetter","Senator Bernskoetter","Missouri State Senate","416","201 W. Capitol Ave.","Rm. 416","Jefferson City","MO","65101","(573) 751-2076","mike.bernskoetter@senate.mo.gov","6","R","","Tier 3","2","Central Missouri families in your district would benefit from court documentation tools"
"Sen.","Patty","Lewis","Senator Lewis","Missouri State Senate","425","201 W. Capitol Ave.","Rm. 425","Jefferson City","MO","65101","(573) 751-6607","patty.lewis@senate.mo.gov","7","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Mike","Cierpiot","Senator Cierpiot","Missouri State Senate","422","201 W. Capitol Ave.","Rm. 422","Jefferson City","MO","65101","(573) 751-1464","mike.cierpiot@senate.mo.gov","8","R","","Tier 3","2","Jackson County families in your district navigate complex court proceedings"
"Sen.","Barbara","Washington","Senator Washington","Missouri State Senate","425","201 W. Capitol Ave.","Rm. 425","Jefferson City","MO","65101","(573) 751-3158","barbara.washington@senate.mo.gov","9","D","","Tier 3","2","Kansas City families in your district face documentation challenges in family court"
"Sen.","Travis","Fitzwater","Senator Fitzwater","Missouri State Senate","418","201 W. Capitol Ave.","Rm. 418","Jefferson City","MO","65101","(573) 751-2757","travis.fitzwater@senate.mo.gov","10","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Joe","Nicola","Senator Nicola","Missouri State Senate","226","201 W. Capitol Ave.","Rm. 226","Jefferson City","MO","65101","(573) 751-3074","joe.nicola@senate.mo.gov","11","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Rusty","Black","Senator Black","Missouri State Senate","420","201 W. Capitol Ave.","Rm. 420","Jefferson City","MO","65101","(573) 751-1415","rusty.black@senate.mo.gov","12","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Angela","Mosley","Senator Mosley","Missouri State Senate","421","201 W. Capitol Ave.","Rm. 421","Jefferson City","MO","65101","(573) 751-2420","angela.mosley@senate.mo.gov","13","D","","Tier 1","4","As a St. Louis County senator your constituents include families navigating the court system"
"Sen.","Brian","Williams","Senator Williams","Missouri State Senate","428A","201 W. Capitol Ave.","Rm. 428A","Jefferson City","MO","65101","(573) 751-4106","brian.williams@senate.mo.gov","14","D","","Tier 1","4","As a St. Louis County senator your constituents face family court documentation challenges"
"Sen.","David","Gregory","Senator Gregory","Missouri State Senate","331","201 W. Capitol Ave.","Rm. 331","Jefferson City","MO","65101","(573) 751-5568","david.gregory@senate.mo.gov","15","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
"Sen.","Justin","Brown","Senator Brown","Missouri State Senate","423","201 W. Capitol Ave.","Rm. 423","Jefferson City","MO","65101","(573) 751-5713","justin.brown@senate.mo.gov","16","R","","Tier 3","2","Missouri families across your district navigate complex court proceedings"
